Name                    Hours       R-mag       Spectral Type
LSPM J0419+4233         291.4       17.4        M8.5
LP 412-31               254.2       16.9        M8
LP 315-53               245.1       16.9        M8
2MUCD 20263             223.3       18.3        M8?
2MUCD 10014             191.3       19?         M9?
2MASSI J1835379+325954  173.7       17.1        M8.5
LP 245-10               168.3       15.9        M7
LSPM J1055+0808         161.0       19.4        M9
LP 271-25               153.5       17.8        M9
