Name                    RA	Dec	Hours       R-mag       Spectral Type
LSPM J0419+4233         04 19 52.13	+42 33 30.42	291.4       17.4        M8.5
LP 412-31               03 20 59.71	+18 54 22.77	254.2       16.9        M8
LP 315-53               10 16 34.66	+27 51 48.82	245.1       16.9        M8
2MUCD 20263             07 14 03.94	+37 02 46.02	223.3       18.3        M8?(not sure)
2MUCD 10014             00 19 45.83	+52 13 17.58	191.3       19?         M9?(not sure)
2MASS J1835379+325954	18 35 37.88	+32 59 53.31	173.7       17.1        M8.5
LP 245-10               02 17 10.01	+35 26 32.55	168.3       15.9        M7
LSPM J1055+0808         10 55 47.34	+08 08 42.93	161.0       19.4        M9
LP 271-25               14 28 43.22	+33 10 39.24	153.5       17.8        M9
